date,type,buy,sell,payload
24/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Bạc Liêu"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
24/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Cà Mau"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hồ Chí Minh"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Bắc"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hạ Long"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hải Phòng"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Trung"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Huế"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Quảng Ngãi"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Nha Trang"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Biên Hòa"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Tây"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Bạc Liêu"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
25/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Cà Mau"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hồ Chí Minh"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Bắc"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hạ Long"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hải Phòng"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Trung"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Huế"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Quảng Ngãi"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Nha Trang"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Biên Hòa"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Tây"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Bạc Liêu"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
26/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Cà Mau"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hồ Chí Minh"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Bắc"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hạ Long"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hải Phòng"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Trung"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Huế"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Quảng Ngãi"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Nha Trang"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Biên Hòa"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Tây"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Bạc Liêu"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
27/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Cà Mau"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hồ Chí Minh"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Bắc"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hạ Long"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hải Phòng"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Trung"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Huế"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Quảng Ngãi"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Nha Trang"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Biên Hòa"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Tây"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Bạc Liêu"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
28/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Cà Mau"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
29/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hồ Chí Minh"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
29/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Miền Bắc"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
29/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hạ Long"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
29/10/2024,"87,000","87,000","89,000","{""Id"":0,""TypeName"":""Vàng SJC 1L, 10L, 1KG"",""BranchName"":""Hải Phòng"",""Buy"":""87,000"",""BuyValue"":8.7E7,""Sell"":""89,000"",""SellValue"":8.9E7,""BuyDiffer"":""-62,500"",""BuyDifferValue"":-6.25E7,""SellDiffer"":""-62,000"",""SellDifferValue"":-6.2E7,""GroupDate"":""/Date(-62135596800000)/""}"
